Topic,Question Type,Paragraph,Question Text,Answer Options,Correct Answer,,Keyword
مرادف,MCQ,"العلم فخر الأمم وأساس تطورها وعظمتها، فهو أعظم ما يسعى إليه البشر، لأنه أساس الأخلاق القويمة، والفكر العميق، والأفكار العظيمة، 
فهو الذي حثت عليه جميع الديانات والشرائع السماوية، وأمر به الله تعالى، إذ فضّل العلماء على العابدين، ورفع مرتبتهم، فالعلماء ورثة الأنبياء. 
للعلم قيمةٌ لا يمكن مقارنتها بغيرها، وهذه القيمة العظيمة لا يمكن إخفاؤها أبدًا، لأنها مذكورةٌ في القرآن الكريم، والسنة النبوية المطهرة.

إنّ المتأمل في تاريخ الأمم والحضارات جميعها، يستطيع أن يكتشف قيمة العلم العظيمة، وأن يعرف أنّ العلم هو العماد الذي نشأت عليه الحضارات، 
وبفضله صعدت الأمم إلى الأمجاد والتطور في جميع مجالات الحياة. قيمة العلم تتجلى فيما يعطيه ويمنحه للناس من إنجازات وتطورات، 
فقد سهّل حياة الناس، وقرّب البعيد، وجعل من العالم قريةً صغيرةً يستطيع المرء أن يعرف أخبار البعيد والقريب، فلولا العلم لما استطاع أبٌ 
أن يطمئن على ابنه البعيد، ولا استطاع طبيبٌ أن يتعلّم، ويدرس، ويعالج الآخرين، ويخلصهم من آلامهم، فالعلم هو الذي جعل من الأرض مكانًا أفضل للعيش.

طلب العلم فريضةٌ، وهذا يدلّ على عظمة قيمة العلم، فيقول النبي ﷺ قال: ""لا حسد إلا في اثنتين: رجل آتاه الله مالا فسلّطه على هلكته في الحق، ورجل آتاه الله حكمة 
فهو يقضي بها ويُعلّمها"" متفق عليه. بالعلم يعلو البنيان، ويَعلو قدْر الإنسان وشأنه بين النَّاس، ويُصبح صاحب مكانةٍ عظيمةٍ ومَرموقة بينهم، 
حتى وإن كان أصغرهم في العمر، لأن العلم تاجٌ يزيّن رأس صاحبه، ويجعل منه شخصًا يقتدي به الآخرون، فلا يقدّر العالم إلا من اغترف من نبع العلم وعرف قيمته وقدره، 
وآمن بأنه الوسيلة التي يتخلص بها العالم من الجهل والظلام.

لولا العلم لظلّ العالَم كله غارقًا في ظلامه، فالعلم الذي لوّن العالَم وجعله أكثر جمالا. ومن أراد أن يعلو قدره، وتزداد معرفته، فما عليه إلا أن يسعى في طلب العلم، 
وأن يحاول البحث عنه قدر المستطاع في أي مكان، فكلما ازداد علما، كلما اشتاق الارتواء منه..","ما معنى كلمة ""يقتدي به"" ؟.",أ. يرتفع به.؛ ب. يتمثّل به.؛ ج. يسمو به.؛ د. يتمسّك به.,No correct answer,,
مضاد,MCQ,No paragraph,"ما ضد كلمة ""إخفاء"" ؟.",أ. بيان.؛ ب. نشر.؛ ج. كتمان.؛ د. إظهار.,No correct answer,,
استيعاب النص,MCQ,No paragraph,"المقصود ""وجعل من العالم قرية صغيرة"" في الفقرة الثانية.",أ. تسهيل حياة الناس.؛ ب. تشبيه العالم بالقرية.؛ ج. التواصل بالمجتمع القريب.؛ د. معرفة أخبار البعيد والقريب.,No correct answer,,
استيعاب النص,MCQ,No paragraph,رفع العلم مكانة صاحبه بــــــ I. رفع شأنه بين الناس. II. جعله من ورثة الأنبياء. III. جعله شخصا يقتدى به. IV. إنشاء الحضارات والأمجاد.,"أ. iv&ii,i.؛ ب. iii&ii,i.؛ ج. iv&ii,i؛ د. iv& iii,i.",No correct answer,,
استيعاب النص,MCQ,No paragraph,"الضمير (هـ ) في الجملة ""فلا يقدّر العالم إلا من اغترف من نبع العلم وعرف قيمته "" يعود إلى.",أ. الناس.؛ ب. العالم.؛ ج. العلم.؛ د. نبع العلم.,No correct answer,,
استيعاب النص,MCQ,No paragraph,العبارة الصحيحة عن قيمة العلم هي.,أ. أسّس الحضارات.؛ ب. جعل العالم قرية صغيرة.؛ ج. رفع مكانة العالِم في المجتمع.؛ د. ظلّ العالم غارقا في ظلام الجهل.,No correct answer,,
استيعاب النص,MCQ,No paragraph,تشير الصورة إلى إحصائيات.,أ. أسباب الإعاقة.؛ ب. أنواع الإعاقات.؛ ج. نسبة الإعاقة في العالم.؛ د. نسبة الإعاقة في المملكة العربية السعودية.,No correct answer,,
استيعاب النص,MCQ,No paragraph,العبارة الصحيحة تتعلّق بالصورة هي .,أ. نسبة الإعاقة في السعودية تزداد كل سنة 7%.؛ ب. الزواج بالأقارب يزيد نسبة الإعاقة 1/25.؛ ج. صحة الأم لا تسبب في إعاقة الطفل.؛ د. الأطفال أكثر المصابين بالإعاقة.,No correct answer,,
استيعاب النص,MCQ,No paragraph,تُعدُّ صعوبات الكلام من أنواع الإعاقة لأن الشخص.,أ. لا يعرف الكلام.؛ ب. لا يفهم الكلام.؛ ج. لا يستطيع الكلام.؛ د. لا يسمع الكلام.,No correct answer,,
استيعاب النص,MCQ,No paragraph,يُعد الزواج بالأقارب من .,أ. أنواع الإعاقة النادرة.؛ ب. الأسباب المسببة للإعاقة.؛ ج. أكثر الحالات في السعودية.؛ د. أخطر أسباب الإعاقة.,No correct answer,,
نحو,MCQ,No paragraph,______ الإعلام كل يوم.,أ. يَتَصَافحُ.؛ ب. يُتَصَفَّحُ.؛ ج. تَتَصَفَّحُ.؛ د. تتَصَافحُ.,No correct answer,,
نحو,MCQ,No paragraph,المسلمون _____ على بعضهم البعض.,أ. يتعارف.؛ ب. تتعارف.؛ ج. يتعارفون.؛ د. يتعارفوا.,No correct answer,,
نحو,MCQ,No paragraph,نجحت الطالبات في الامتحان نجاحا لم _____.,أ. يتوقّعْها.؛ ب. تتوقّعيه.؛ ج. يتوقّعوه.؛ د. يتوقّعْنه.,No correct answer,,
نحو,MCQ,No paragraph,عيّن الجملة الفعلية من الجمل الآتية.,أ. زيّن المعلمون قاعة المدرسة بالرسوم الجميلة.؛ ب. جمع معلومات العيّنة خطوة أولى في البحث.؛ ج. مقابلة مدير المدرسة مع الآباء تفتح مجال المناقشة.؛ د. استعمال التعابير الأدبية في الرسالة الرسمية غير مفيد.,No correct answer,,
نحو,MCQ,No paragraph,عيّن الجملة الاسمية فيها خبر جملة اسمية.,أ. الكتب المدرسية مواضيعها كثيرة ومفيدة.؛ ب. الوقت أثمن ما يملكه الإنسان ولا يرجع أبدا.؛ ج. المواطن يزيّن حجرة منزله بالأعلام والرسوم الخاصة.؛ د. موضوعات الكتاب ومواده تناسب مع متطلّبات الكلية.,No correct answer,,
نحو,MCQ,No paragraph,الباحثون _____ يقدّمون الأوراق في المؤتمر.,أ. نفسهم.؛ ب. أنفسهم.؛ ج. نفسهما.؛ د. أنفسهما.,No correct answer,,
نحو,MCQ,No paragraph,ضع المفعول المطلق المناسب في الجملة: 'ينبغي على الحكومة أن تُنجزَ المشروع _____'.,أ. إنجاز.؛ ب. نجتاز.؛ ج. نجوز.؛ د. إنتجاز.,No correct answer,,
إعراب,MCQ,No paragraph,إعراب الكلمة التي تحتها خط في الجملة: 'حمدَه السفيرُ على ترقيته العملية'.,أ. ضمير متصل في محل رفع فاعل.؛ ب. ضمير متصل في محل رفع مضاف.؛ ج. ضمير متصل في محل نصب مفعول به.؛ د. ضمير متصل في محل نصب مضاف إليه.,No correct answer,,
نحو,MCQ,No paragraph,موقع إعراب الكلمة التي تحتها خط في الجملة: 'الخليفة عمر بن الخطاب رجل قوي نفسه'.,أ. النعت.؛ ب. البدل.؛ ج. خبر.؛ د. توكيد.,No correct answer,,
نحو,MCQ,No paragraph,المفاعيل في الجملة: 'أعطيتُ الفقير مالا صدقةً له في شهر رمضان'.,"أ. مفعول به، مفعول معه.؛ ب. مفعول مطلق، مفعول به.؛ ج. مفعول به، مفعول لأجله.؛ د. مفعول مطلق، مفعول معه.",No correct answer,,
صرف,MCQ,No paragraph,"المعنى الدلالي لكلمة ""استحجر"" هو.",أ. النحت.؛ ب. المشابهة.؛ ج. الصيرورة.؛ د. الاسم المأخوذ منه آلة.,No correct answer,,
صرف,MCQ,No paragraph,"بناء الفعل المضارع لكلمة ""أضحك"" هو .",أ. يَضْحَك.؛ ب. يُضْحِك.؛ ج. يُضَحِّك.؛ د.يَضَّحَك.,No correct answer,,
صرف,MCQ,No paragraph,الكلمة التي تبني على الوزن للفعل الثلاثي المزيد بثلاثة أحرف .,أ. تعلّم.؛ ب. تباعد.؛ ج. انكسر.؛ د. استأسد.,No correct answer,,
صرف,MCQ,No paragraph,"الوزن الصرفي لكلمة ""يَتَّبِعُ"" هو .",أ. يَفْتَعِلُ.؛ ب. يتَّفَعَلُ.؛ ج. يَنْفَعِلُ.؛ د. يَسْتَفْعِلُ.,No correct answer,,
صرف,MCQ,No paragraph,"يفيد معنى الفعل الذي تحته خط في الآية: ""ففهَّمْناها سليمان وكلاًّ آتينا حكما وعلما"".",أ. التعدية.؛ ب. المبالغة.؛ ج. المشاركة.؛ د. الصيرورة.,No correct answer,,
صرف,MCQ,No paragraph,"يفيد معنى الفعل الذي تحته خط في الجملة ""تكاسل الطلاب في الدراسة"" .",أ. المبالغة.؛ ب. التوجّه.؛ ج. التظاهر.؛ د. المطاوعة.,No correct answer,,
صرف,MCQ,No paragraph,"يفيد معنى الفعل الذي تحته خط في الجملة ""هلّلَ الجنود بعد النصر"".",أ. التشبه.؛ ب. المبالغة.؛ ج. المطاوعة.؛ د. اختصار الحكاية.,No correct answer,,
صرف,MCQ,No paragraph,"يفيد معنى الفعل الذي تحته خط في الجملة ""تأثم المؤمن ابتغاء مرضاة الله"".",أ. التعدية.؛ ب. التكلّف.؛ ج. المشاركة.؛ د. التجنّب.,No correct answer,,
صرف,MCQ,No paragraph,"عيّن الفعل المزيد الرباعي بحرف واحد في الجملة: ""تبعثرَت النفايات بعد أن تزلزلُ الأرض وشرّقتُ بعيدا عن تلك المكان""..",أ. بعيد.؛ ب. تبعثر.؛ ج. تزلزل.؛ د. شرّقت.,No correct answer,,
صرف,MCQ,No paragraph,"عيّن الفعل المجرد في الجملة: ""يفكّر الطالب لمستقبله وأصبح به أن يقتنع بالحياة ويصنع لها"". .",أ. أصبح.؛ ب. يفكّر.؛ ج. يصنع.؛ د. يقتنع.,No correct answer,,
استعاب النص,MCQ,"يتمثّل إتقان العمل بأداء العمل المكلّف به، وإحسان قيامه، ويتطلّب ذلك إخلاصه لله تعالى، ويكون الإخلاص من خلال القيام به على أتم وجه، واحتسابه لوجه الله تعالى، وعدم طلب الثناء أو المدح من وراء ذلك العمل. ويُعتبر إتقان العمل ركنًا من أركان النجاح، ويُعدُّ صفة إسلاميّة بحتة، ويشمل الإتقان على كل عمل تعبديّ، أو حياتيّ، أو سلوكيّ.
‏حثّ الإسلام على الإتقان وجعله من الأساسيات سواءً كان في العبادات التي يقوم بما المسلم لله تعالى، أو في الأعمال الدنيوية التي يقوم بحا، والتي تعود عليه بالنفع بطريقة مباشرة أو غير مباشرة، فقد قال الله تعالى: (وَقُلِ اعْمَلُوا فَسَيَرَى اللهُ عَمَلَكُمْ وَرَسُولُهُ وَالْمُؤْمِنُونَ) [إالتوبة:١٠٥]، هذا أمر بالعمل وأنّه على العمل يكون هناك رقيب هو الله ورسوله والمؤمنون، فإن لم يتقن المسلم عمله من تلقاء نفسه ومن نزعة المسؤولية في ذاته، يتقنه لأنّ هناك رقيب وليس أعظم من مراقبة الله في كل زمان ومكان لإتقان كل الأعمال.
ومن جانب آخر، تحثّ الشريعة الإسلاميّة على ضرورة التميز والإتقان في العمل، وأمرت بالابتعاد عن التقصير والإهمال. فالأعمال معروضة على الله سبحانه وتعالى، ويجب الانتباه إلى عدم إدخال عمل آخر إلى العمل الحالي قبل إنجازه، فتعارض الأعمال وازدواجها تؤول إلى الفشل، والتعب، والخسارة. وحقيقة القول، إنَّ العمل بدون إتقان لا ينفع صاحبه، ولا يُمكن الاستفادة منه، كما أنَّه مردود على صاحبه. ولذلك، إتقان عمل واحد والتميز به أفضل من القيام بمجموعة من الأعمال الظاهرة أمام الجميع، والتي تُصنف الفرد في عداد الفاشلين.
تنبع أهمية إتقان العمل من كونه يُعبر عن الفرد، والمجتمع، والبلد. فعندما يقوم الأشخاص بتأدية أعمالهم على أتم وجه، فإنّ المجتمع سيرتقي، ويتطور، ويصلح حال البلاد. والإصلاح لا يكون إلاّ من خلال البدء به من قبل كل شخص. ويُضاف إلى أهمية الإتقان، أنَّه يُبعد التكاسل، والتخاذل، والفشل، ويساعد على النشاط، والبناء، والتطور، وتحقيق الأهداف المرجوّة، كما يعدّ الإتقان المعيار الذي يميّزالمجتهد عن المقصّر.",إتقان العمل هو أداء الأعمال.,أ. باستمرار.؛ ب. بأسرع وقت.؛ ج. بأكمل وجه.؛ د. بطرق متنوّعة.,ج. بأكمل وجه.,,
استعاب النص,MCQ,No paragraph,الإتقان في العمل من المنظور الإسلامي لا يشتمل على.,أ. الأعمال في مكان العمل.؛ ب. العبادات والأعمال الدينية.؛ ج. الأعمال المستعجلة والسيءة.؛ د. العبادات والأعمال الدنيوية.,ج. الأعمال المستعجلة والسيءة..,,
استعاب النص,MCQ,No paragraph,"من المراد به في كلمة ""رقيب"" في العبارة: ""يتقنه لأن هناك رقيب""؟",أ. الله.؛ ب. الرسول.؛ ج. الرئيس.؛ د. المؤمنون.,أ. الله.,,
استعاب النص,MCQ,No paragraph,التقصير في العمل يعني.,أ. إنجاز العمل قبل موعده.؛ ب. القيام بالعمل دون إتمامه.؛ ج. إتمام العمل بطريقة متنوعة.؛ د. إنجاز العمل ثي وقت قصير..,ب. القيام بالعمل دون إتمامه.,,
استعاب النص,MCQ,No paragraph,لماذا تعارُض الأعمال يؤدي إلى الفشل والتعب؟,أ. عدم الاستفادة من الأعمال.؛ ب. عدم التركيز على أعمال كثيرة.؛ ج. كثرة الأعمال في أوقات مختلفة.؛ د. ازدواج الأعمال مع أعمال أخرى..,ب. عدم التركيز على أعمال كثيرة.,,
استعاب النص,MCQ,No paragraph,إتقان العمل يصلح حال البلاد من خلال.,أ. البدء بأعمال مفيدة.؛ ب. الأعمال المتوفّرة لدى المجتمع.؛ ج. أداء الفرد أعماله بأكمل وجه.؛ د. تطوّر المجتمع الذي يتم بتطوّر الأعمال..,ج. أداء الفرد أعماله بأكمل وجه.,,
استعاب النص,MCQ,No paragraph,"المراد به في كلمة ""المقصّر"" في العبارة: ""يعدّ الإتقان المعيار الذي يميّز المجتهد والمقصّر"" هو الشخص الذي.",أ. لايحبّ العمل.؛ ب. لا يتقن عمله.؛ ج. يقصّر وقت العمل.؛ د. يهمل أعمال الغير..,ب. لا يتقن عمله.,,
استعاب النص,MCQ,No paragraph,السبب الرئيسي للمسلم أن يتقن عمله.,أ. ابتغاء مرضاة الله.؛ ب. اكتساب الأموال.؛ ج. حصول العلوم والخبرات.؛ د. تنمية المهارات المتعلّقة بالعمل..,أ. ابتغاء مرضاة الله.,,
استعاب النص,MCQ,No paragraph,يعتبر الإخلاص سرّ من أسرار الإتقان لأن.,أ. الله يحبّ المتقن في عمله.؛ ب. الإخلاص مسؤولية الفرد.؛ ج. مفهوم الإتقان ابتغاءحبّ الله.؛ د. الإتقان لا يأتي دون الإخلاص..,د. الإتقان لا يأتي دون الإخلاص.,,
استعاب النص,MCQ,No paragraph,ما الموضوع المناسب للنص السابق؟,أ. كيفية الإتقان في العمل.؛ ب. إتقان العمل في العصر الحديث.؛ ج. إتقان العمل وأهميته لدى المسلم.؛ د. إتقان العمل لدى طلاب الجامعة..,ج. إتقان العمل وأهميته لدى المسلم.,,
استعاب النص,MCQ,"تُعَدُّ مادة البلاستيك من أكثر المواد الصناعية استخداما قي حياتنا، فهي تُستخدَم تي الصناعات الغذائية بصورة كبيرة في مواد التغليف. وكما أن هنالك منتجات من المواد البلاستيكية سهلة الاستخدام مثل الأكياس البلاستيكية التي أصبحت جزأ مهمّا في حياتنا اليومية، ولكنّنا في الحقيقة نحمل في أيدينا ما يهدّد حياتنا وصحّتنا. فالمواد البلاستيكية تأخذ وقتا طويلا لإتلافها، فتتراكم فوق بعضها البعض وتشكّل على المدى الطويل مشكلة كبيرة على البيئة والصحّة.",مادّة البلاستيك أكثر استخدامًا في تغليف.,أ. المواد الطبية.؛ ب. الطعام والشراب.؛ ج. الأدوات المدرسية.؛ د. الأجهزة التكنولوجية..,ب. الطعام والشراب.,,
استعاب النص,MCQ,No paragraph,لماذا أصبحت مدّة البلاستيك جزءً مهمًّا في حياتنا؟,أ. صعوبة الإتلاف.؛ ب. سهولة الاستخدام.؛ ج. مفيدة للبيئة والصحّة.؛ د. تقليل مشكلة التلوّث..,ب. سهولة الاستخدام,,
استعاب النص,MCQ,No paragraph,من أضرار استخدام البلاستياك على صخحة الإنسان I.الحمل. II.السرطان. III.مشاكل إنجابية. IV.أضرار بالجنين..,"أ. iii&,i.؛ ب. iv&ii.؛ ج. iv&iii,i؛ د. iv& iii,ii.","د. iv& iii,ii.",,
استعاب النص,MCQ,No paragraph,يتمّ انتقال بعض المواد الكيميائية المسرطنة إلى المياه من خلال I.تعرض المياه تحت أشعّة الشمس. II.استخدام قوارير المياه أكثر من مرّة. III.تجنّب قوارير المياه من الحرارة الزاءدة. IV.شرب المياه من قوارير المياه الصغيرة..,"أ. ii&,i.؛ ب. iv&ii.؛ ج. iv&iii,ii؛ د. iii& ii,i.","أ. ii&,i.",,
استعاب النص,MCQ,No paragraph,ما الخطوة التي أخذتها الدول الأوروبية تي حلّ مشكلة أضرار البلاستيك؟,أ. حدّ استخدام الأكياس البلاستيكية.؛ ب. تصنيف الواد السامّة داخل البلاستيك.؛ ج. حفظ الأطعمة في الأكياس البلاستيكية.؛ د. التنخلُّص من المواد السامّة في صناعة البلاستيك..,أ. حدّ استخدام الأكياس البلاستيكية,,
استعاب النص,MCQ,No paragraph,"ما المراد بالعبارة: ""اتخذت إجراءات صارمة للحدّ من استخدام الأكياس البلاستيكية"" في الفقرة الثانية؟",أ. منع استخدام البلاستيك منعًا قطعيًا.؛ ب. وضع القرار الجادّ لتقليل استخدام البلاستيك.؛ ج. اتّباع القانون الحالي في استخدام البلاستيك.؛ د. تنفيذ العقوبة القانونية على مستخدمي البلاستيك..,ب. وضع القرار الجادّ لتقليل استخدام البلاستيك,,
استعاب النص,MCQ,No paragraph,عيّن العبارة التي تبيّن أضرار البلاستيك على سلامة البيئة I.تخلّط المواد الكيميائية الخطرة مع المياه الجوفية. II.تؤثّر المواد الكيميائية في جودة التربة تأثيرًا سلبيًّا. III.تمرض الحيوانات البرّية والبحريّة بسبب ابتلاع البلاستيك. IV.تُستخدم الأكياس البلاستيكية لأغراض مختلفة حول العالم..,"أ. ii&,i.؛ ب. iii&i.؛ ج. iii&ii,i؛ د. iv& iii,i.","ج. iii&ii,i",,
استعاب النص,MCQ,No paragraph,قد تبتلع المواشي الأكياس البلاستيكية بسبب.,أ. دفن المواد البلاستيكية في التراب.؛ ب. عدم الاهتمام بحياة الكائنات البرّية والبحرية.؛ ج. عدم مسؤولية الإنسان في إدارة النفايات.؛ د. تحلّل بعض المواد الكيميائية في تركيبها إلى الأرض..,ج. عدم مسؤولية الإنسان في إدارة النفايات,,
استعاب النص,MCQ,No paragraph,استبدال البلاستياك بالورق المقوى ل.,أ. سهولة الاستخدام.؛ ب. سهولة إعادة التدوير.؛ ج. كثرة وجوده في الدول المتقدّمة.؛ د. عدم وجوده في دول العالم الثالث..,ب. سهولة إعادة التدوير,,
استعاب النص,MCQ,No paragraph,تقصد دول العالم الثالث في الفقرة الرابعة بالدول.,أ. النامية.؛ ب. المتقدّمة.؛ ج. الأوروبية.؛ د. المشهورة..,أ. النامية,,
استعاب النص,MCQ,"أصبح الإنتزنت جزءًا مهمًّا لا يتجزّأ من حياتنا، ويؤثّر أثرًا مباشرًا على الحياة الاجتماعيّة، والثقافية، والعلمية. ويتّسم بأنّه يقدّم جميع لغات العالم...","ما المقصود بالعبارة: ""أصبح الإنترنت جزءًا مهمًّا لا يتجزّأ من حياتنا""؟",أ. الأثر المباشر على الحياة الاجتماعيّة.؛ ب. الجزء الذي لا ينفع في المحادثات اليوميّة.؛ ج. الإنترنت لا يمكن فصله من الممارسات اليوميّة.؛ د. شبكة الإنترنت تحمل مجموعة كبيرة من المعلومات..,No correct answer,,
استعاب النص,MCQ,No paragraph,الدول التي لا تتمكّن من ربط شبكة الإنترنت ستكون.,أ. غنيّة.؛ ب. فقرية.؛ ج. متطوّرة.؛ د. متخلّفة..,No correct answer,,
استعاب النص,MCQ,No paragraph,"في الفقرة الأولى، ما مرادف كلمة ""فات""؟",أ. ظهر.؛ ب. رجع‏.؛ ج. حدّد.؛ د. مضى..,No correct answer,,
استعاب النص,MCQ,No paragraph,من أسباب الدول المتقدّمة تضع الإنترنت في أول اهتماماتها هي.,أ. وجود عِدّة أسماء لشبكة الإنترنت.؛ ب. فوات الكثير من المعلومات والبيانات.؛ ج. شموليّة استخدام الإنترنت في عدّة أغراض.؛ د. إمكانية تعلُّم لغات أجنبيّة بسرعة للأغراض معيّنة..,No correct answer,,
استعاب النص,MCQ,No paragraph,تشير الفقرة الثانية إلى.,أ. مميّزات شبكة الإنترنت.؛ ب. الصور والمقاطع المسجّلة.؛ ج. أنظمة البريد الإلكترونيّ الكتابي.؛ د. إيجابيات وسلبيات شبكة الإنترنت..,No correct answer,,
استعاب النص,MCQ,No paragraph,"ما المقصود بالعبارة ""وسيلة فعّالة"" تي الفقرة الثانية؟",أ. وسيلة مؤثّرة.؛ ب. وسيلة مهمّة.؛ ج. طريقة موحّدة.؛ د. طريقة منهجيّة..,No correct answer,,
استعاب النص,MCQ,No paragraph,تشير البيانات إلى أنها.,أ. افتراض لمدة ‎٧٨‏ سنة من العيش.؛ ب. تأثير الوقت على السكان في العالم.؛ ج. تركيز الأعمال اليومية لمدة ‎٢٤‏ ساعة.؛ د. نتيجة دراسة عن أنشطة الإنسان مدى الحياة..,No correct answer,,
استعاب النص,MCQ,No paragraph,يملك الشخص.,"أ. الثلث من يومه للنوم.؛ ب. الثلث من حياته للنوم.؛ ج. ‎٢٨،٣٪‏ من حياته للنوم.؛ د. ‎٣‏ ساعات من حياته للنوم..",No correct answer,,
استعاب النص,MCQ,No paragraph,يقضي المرء وقته للترفيه لمدة.,"أ. ‎٤‏ سنوات.؛ ب. ٦‏ سنوات.؛ ج. ‎ ‎٩‏ سنوات.؛ د. ‎١٠،٥‏ سنوات..",No correct answer,,
استعاب النص,MCQ,"‏‏ هو أبو علي الحسين بن عبد الله بن الحسين بن علي بن سينا الملقب بالشيخ الرئيس، وُلد في صفر(٣٧٠ه ٩٨٠م)...",ما‏ موقف ابن سينا من الإسماعيلية؟,أ. استجاب أبوه و أخوه لدعاة الإسماعيلية.؛ ب. قبل ابن سينا و أبوه لدعاة الإسماعيلية.؛ ج. رفض ابن سينا لدعاة الإسماعيلية.؛ د. دعم ابن سينا دعاة الإسماعيلية..,No correct answer,,
استعاب النص,MCQ,No paragraph,العلوم التي درسها ابن سينا هي.,أ. علم النحو وعلم الطبّ وعلم الطبيعة.؛ ب. علم القرآن وعلم الطبّ وعلم المنطق.؛ ج. علم النحو وعلم الطبّ وعلم الفلسفة.؛ د. علم الطبيعة وعلم الطبّ وعلم الفلسفة..,No correct answer,,
